"pitch_speed_mph","max_shoulder_internal_rotational_velo","max_torso_rotational_velo","max_shoulder_external_rotation","shoulder_horizontal_abduction_fp","pelvis_anterior_tilt_fp","max_cog_velo_x","glove_shoulder_external_rotation_fp","torso_lateral_tilt_br","lead_knee_extension_from_fp_to_br","stride_angle","max_shoulder_horizontal_abduction","shoulder_generation_fp_br","elbow_absorption_fp_br","lead_knee_transfer_fp_br","rear_hip_generation_pkh_fp"
86.4,4726.9077,1082.9732,158.1403,25.6217,9.967,3.2937,-51.6486,27.6269,22.5262,-1.3863,31.5352,29.8958,70.8937,64.074,237.4335
85.8,4797.0983,1086.5615,159.1295,27.181,11.8589,3.2749,-48.4997,26.1381,18.2448,0.6543,31.9738,32.3548,70.3185,54.5092,257.4684
84.6,4751.2837,1077.8302,157.396,26.7326,10.8376,3.2924,-47.8393,27.9059,18.8224,1.9266,33.9356,30.7574,71.0653,58.5488,221.8823
85.4,4917.8361,1096.8716,168.8882,51.5754,5.8736,3.2385,-44.1507,23.9729,7.2668,-6.0602,56.4015,37.2312,35.4103,36.1492,231.4232
84.4,5157.6503,1132.3194,167.0407,44.3145,9.2425,3.221,-58.8714,22.928,13.8474,-6.6383,50.8739,32.2102,40.0132,35.0388,262.5007
85,3942.5678,956.676,184.6568,25.9637,5.9383,3.3113,-35.0462,12.291,-6.6856,3.3776,52.0696,45.1434,49.1917,27.9347,169.5892
84.6,4003.8613,993.2766,183.5441,31.93,5.5814,3.3841,-37.8034,11.4277,-1.3635,2.1666,53.075,42.6235,56.9132,49.6279,166.6676
85.8,4101.9353,994.4683,172.4469,52.6032,9.2333,3.0566,-35.2688,21.7914,8.0693,6.7005,53.179,21.9995,52.5935,35.2074,127.05
85.7,4122.2622,1002.4684,174.501,52.8386,5.7414,3.1118,-36.4631,25.5168,7.697,7.7629,52.8773,23.6896,61.5338,36.167,140.1544
85.3,4100.657,1006.1412,172.2693,51.4215,6.3749,3.1105,-37.6968,23.4914,4.9839,8.1927,52.1569,19.2827,52.6795,29.6537,131.8749
87.1,4205.2212,1021.2634,162.5317,30.286,0.9376,3.0013,-39.3366,20.0573,15.4917,-9.8648,45.2495,34.6256,30.7817,66.2774,185.5417
87.3,4150.5038,1031.1986,162.0228,32.6606,7.4747,3.1657,-37.5431,17.5069,17.6888,-6.3662,48.1012,36.6218,31.3766,71.829,197.0186
