SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_CLOCK,HEIGHT_DIFFERENTIAL,HAS_HEIGHT_ADVANTAGE,LOW_CLOCK,LONG_TOUCH,HIGH_DRIBBLE,SHOT_EVENT_ID
2.6,2.9,4.9,11.8,-5.0,0,0,0,0,dfd188106c92
24.3,7.2,9.6,13.6,-1.0,0,0,0,1,8502a380dcba
23.7,8.8,0.7,3.5,-4.0,0,1,0,0,f178b2c02327
1.6,2.2,0.9,15.4,4.0,0,0,0,0,a313ccf11036
1.2,4.5,1.8,23.1,-4.0,0,0,0,0,4a76fbb76816
5.3,2.5,3.8,12.4,0.0,0,0,0,0,4e6561f7d147
24.5,9.8,0.8,5.6,0.0,0,0,0,0,360a9a46683d
4.9,3.4,2.2,0.0,3.0,0,1,0,0,6e30af232a0e
6.4,2.0,1.0,0.0,0.0,0,1,0,0,6f5550831038
2.0,1.2,2.8,1.2,-3.0,0,1,0,0,1936684ba231
23.3,10.1,0.9,11.8,3.0,0,0,0,0,04683f1378da
8.5,2.7,0.7,13.3,7.0,1,0,0,0,71a4ad4f5b8f
4.3,3.2,0.8,19.9,-1.0,0,0,0,0,73d47a6ba37d
25.2,3.6,0.9,11.3,0.0,0,0,0,0,0d7aca7719ef
1.9,0.0,0.9,6.0,1.0,0,0,0,0,fc1865d28f00
17.8,5.5,2.0,12.3,-5.0,0,0,0,0,5c4b57b6615d
22.6,7.5,0.8,10.0,-5.0,0,0,0,0,cd1fa08d3cac
25.5,7.3,1.0,6.8,-1.0,0,0,0,0,02b6569e7559
2.3,0.7,0.8,8.7,0.0,0,0,0,0,0c1d8ca92826
1.5,5.8,4.2,20.4,0.0,0,0,0,0,93282cd4256b
11.9,2.1,1.2,1.2,0.0,0,1,0,0,1e58bd0d5c74
18.5,9.2,0.9,9.1,12.0,1,0,0,0,9ef912b15b9e
5.8,2.9,12.5,12.0,-12.0,0,0,1,1,0b56f69aeff0
22.3,6.8,0.7,1.4,2.0,0,1,0,0,2f57efb09054
3.6,1.9,1.7,20.7,-4.0,0,0,0,0,f75778236087
25.7,5.0,0.7,23.2,1.0,0,0,0,0,a93ea6d67383
4.8,1.9,3.6,20.1,0.0,0,0,0,0,2e7d65b55b0d
18.2,4.3,5.8,15.1,-3.0,0,0,0,1,ded32959d3c2
0.2,1.1,1.3,7.3,0.0,0,0,0,0,5862efdc70fc
16.4,4.4,4.1,7.1,3.0,0,0,0,0,c533e8b6c974
5.0,2.7,0.5,19.2,5.0,1,0,0,0,7a4854b25254
22.3,6.3,1.0,7.3,3.0,0,0,0,0,86a557457bd9
18.2,5.0,2.2,7.0,-2.0,0,0,0,0,fcf62f05bf8c
13.5,3.7,6.6,17.2,-4.0,0,0,0,1,74e8a196a73f
24.5,5.0,4.1,11.3,5.0,1,0,0,0,1186cf27088b
10.5,3.9,5.9,7.6,0.0,0,0,0,1,a1593dd6c98c
19.3,4.9,5.2,11.7,3.0,0,0,0,0,282506c762cc
2.0,2.2,0.6,18.0,-2.0,0,0,0,0,c53068007381
3.5,4.7,1.1,19.9,3.0,0,0,0,0,265e2ad39b75
0.3,2.3,3.5,4.3,-3.0,0,1,0,0,81eb804e0f5f
17.9,4.6,0.7,10.7,-3.0,0,0,0,0,fd49b1a2a80d
3.9,3.5,0.8,21.9,-6.0,0,0,0,0,ed860fab4c57
3.8,2.0,0.4,16.6,0.0,0,0,0,0,c9c3764a74d1
0.6,2.2,1.7,7.3,-2.0,0,0,0,0,449240ad1108
18.1,4.5,1.1,11.0,-2.0,0,0,0,0,963e38a4efe0
17.6,3.0,3.0,8.0,1.0,0,0,0,0,0f2e5a4cdcdd
22.6,7.2,1.1,20.2,-1.0,0,0,0,0,76f2fd099ee7
23.6,6.7,1.1,14.0,1.0,0,0,0,0,a4d67bf7a583
17.8,7.9,10.0,14.1,-9.0,0,0,1,1,e1ca65289aa6
4.5,7.3,1.5,13.0,3.0,0,0,0,0,e75314250a3f
3.7,0.3,8.3,14.9,0.0,0,0,0,1,7b988935b63d
22.6,5.7,1.4,22.3,0.0,0,0,0,0,a5920daf969d
4.2,1.2,3.3,11.0,-10.0,0,0,0,0,851f18828cca
3.7,0.7,1.5,21.6,-9.0,0,0,0,0,4d80216ffbaa
24.9,3.8,1.1,0.0,8.0,1,1,0,0,6e27150e93de
5.3,1.9,1.4,16.0,-3.0,0,0,0,0,cd3bb34c2f9d
20.5,6.5,1.0,16.2,0.0,0,0,0,0,b1a973e1f184
12.4,1.8,7.8,8.5,-3.0,0,0,0,1,d685ce99f21b
3.9,4.7,0.9,22.6,-1.0,0,0,0,0,79068ced7cdd
4.6,0.4,1.0,24.0,0.0,0,0,0,0,4059cc0f977d
6.0,2.6,1.6,0.0,5.0,1,1,0,0,dfb07eb5207e
2.8,3.2,0.7,8.3,-3.0,0,0,0,0,f435ddea9ca2
5.2,2.5,6.8,6.0,-1.0,0,0,0,1,efdfb787e533
10.0,2.9,2.6,7.5,3.0,0,0,0,0,ac23ddc5c409
2.4,4.1,8.1,16.5,-8.0,0,0,0,1,83e431aef73a
26.8,4.6,1.1,11.6,3.0,0,0,0,0,88734123baa0
24.7,6.3,0.7,4.5,-1.0,0,1,0,0,87d26745c37f
20.2,5.0,12.6,13.5,-5.0,0,0,1,1,76f0a1f94306
2.9,0.7,3.2,22.1,-2.0,0,0,0,0,82778613e47e
5.0,1.1,1.3,16.7,-3.0,0,0,0,0,5a2955e5724b
18.6,3.8,1.2,11.3,3.0,0,0,0,0,ddbe74d7eddb
24.0,4.6,0.8,23.0,-1.0,0,0,0,0,1e86ed1d9ce8
20.1,5.9,0.7,6.6,0.0,0,0,0,0,83bd5f721861
13.4,3.2,2.7,15.6,0.0,0,0,0,0,7bf304831c5f
2.3,3.4,1.1,24.0,-6.0,0,0,0,0,226402efffd5
5.0,4.1,0.7,5.3,0.0,0,0,0,0,b547bd0c458e
17.4,2.1,3.2,2.4,1.0,0,1,0,0,83db35c19554
3.4,1.9,0.7,11.5,2.0,0,0,0,0,6794e532023a
2.6,1.7,6.5,18.5,-1.0,0,0,0,1,705a7a4aedae
24.4,4.2,0.8,5.3,-4.0,0,0,0,0,1e9772a887fe
4.0,1.5,0.4,24.0,0.0,0,0,0,0,7408d36276b6
6.5,2.8,11.7,12.0,2.0,0,0,1,1,dfb93dcc5684
18.3,4.8,4.2,20.0,-1.0,0,0,0,0,6468a9105703
