pitch_speed_mph,arm_slot,cog_velo_pkh,elbow_absorption_fp_br,elbow_flexion_fp,elbow_pronation_fp,elbow_transfer_fp_br,glove_shoulder_abduction_fp,glove_shoulder_external_rotation_fp,lead_grf_x_max,lead_grf_z_max,lead_hip_absorption_fp_br,lead_hip_transfer_fp_br,lead_knee_absorption_fp_br,lead_knee_extension_angular_velo_max,lead_knee_extension_from_fp_to_br,lead_knee_generation_fp_br,lead_knee_transfer_fp_br,max_cog_velo_x,max_elbow_extension_velo,max_elbow_flexion,max_rotation_hip_shoulder_separation,max_shoulder_external_rotation,max_shoulder_horizontal_abduction,max_shoulder_internal_rotational_velo,max_torso_rotational_velo,pelvis_anterior_tilt_fp,pelvis_lumbar_transfer_fp_br,pelvis_rotation_fp,rear_grf_mag_max,rear_grf_x_max,rear_hip_generation_pkh_fp,rear_knee_transfer_pkh_fp,shoulder_generation_fp_br,shoulder_horizontal_abduction_fp,shoulder_internal_rotation_moment,stride_angle,stride_length,torso_anterior_tilt_mer,torso_lateral_tilt_br,torso_lateral_tilt_fp,session_pitch,user,session_mass_kg,session_height_m,age_yrs,playing_level,p_throws
69.9,60.3766,0.1429,32.3959,121.4217,2.0545,231.6929,74.2679,-37.6582,817.7767,1621.789,120.1142,38.1236,22.8213,284.7172,-1.2455,18.3192,29.83,2.8746,2695.6495,130.3813,13.1602,150.36,23.6921,4319.4988,947.3004,-7.4975,107.2062,27.23,1381.3098,724.2596,119.2704,36.6868,4.6424,19.6761,85.0474,-10.1346,0.7879,9.7598,29.7153,-13.4159,1393_2,919.0,88.9056,1.6764,23.05,independent,L
69.5,57.5123,0.1964,35.2964,123.7818,4.087,228.1143,74.6227,-38.9203,909.2051,1622.0423,117.5439,28.624,30.6113,270.3678,-4.9586,12.6946,16.5385,2.8746,2663.0325,129.1579,15.9429,151.2893,23.0752,4320.9953,968.5634,-7.8923,105.2864,38.4945,1387.3076,747.9013,131.1502,33.2025,5.839,21.4609,82.2816,-8.1327,0.8193,7.9801,27.9328,-10.0775,1393_3,919.0,88.9056,1.6764,23.05,independent,L
86.3,50.2536,0.3393,47.7717,105.7132,48.196,374.5595,93.3703,-51.1587,1030.4968,1812.813,74.7654,72.4768,9.0358,482.5451,14.657,74.5443,36.7591,2.8922,2545.0998,113.6798,27.8676,169.2997,49.0446,4924.019,1041.423,4.8053,121.0579,29.5002,1469.7092,814.7943,179.3477,63.4714,42.7738,46.992,117.9363,1.7493,0.8104,21.4938,30.5094,-1.2012,1394_1,920.0,94.3488,1.905,18.14,high_school,R
86.7,50.131,0.3036,50.6365,105.6932,51.8435,368.3347,94.2175,-51.6846,1051.2446,1764.8982,83.7536,87.2365,15.0369,506.6609,15.5418,83.7885,48.8311,3.0202,2588.7563,114.4972,28.2601,170.0083,50.5484,4886.0786,1034.0795,3.5796,147.3653,26.9883,1415.4326,796.2126,189.4494,59.3777,43.4643,46.4177,116.2078,2.5596,0.8246,25.852,32.0301,0.2952,1394_2,920.0,94.3488,1.905,18.14,high_school,R
86.8,45.5898,0.3036,62.7303,105.191,53.0661,365.7557,94.9858,-50.9973,1028.7238,1817.7053,74.396,77.4214,15.5787,409.794,14.3316,81.6669,43.8862,2.9663,2536.0537,116.2779,27.8057,171.4072,49.7918,4986.0166,1032.7659,3.1482,142.6492,24.0628,1425.0792,807.621,185.2959,59.4527,55.2005,44.9372,112.2029,3.4363,0.8157,28.747,32.8497,-0.5589,1394_3,920.0,94.3488,1.905,18.14,high_school,R
78.7,52.2796,0.3393,51.278,134.3778,-18.4009,258.4705,64.0978,-35.134,833.6208,1365.3656,13.1279,26.912,0.8739,463.0228,7.0863,1.1137,13.5263,2.8935,2119.5785,134.3779,28.9473,179.194,27.6718,4114.833,985.7907,0.6953,204.2017,20.4145,1195.162,609.3777,95.4617,27.8178,28.9822,27.6105,69.0642,13.3353,0.8319,15.6713,24.2749,-11.2537,1403_1,927.0,70.308,1.778,19.1,college,R
78.6,50.9833,0.3393,53.6452,134.0843,-18.4221,249.0789,68.0598,-44.5166,859.2376,1301.9622,11.1792,25.4361,1.3076,431.2744,7.4095,1.296,12.7372,2.8746,2215.3281,134.164,31.9787,179.7406,29.471,4110.2161,1006.9553,0.4521,190.1052,25.3789,1268.3069,604.0706,94.6568,29.1931,29.9066,28.2919,68.8255,11.3191,0.8124,16.2473,23.8671,-10.1134,1403_2,927.0,70.308,1.778,19.1,college,R
77.9,50.4383,0.375,54.7615,135.4125,-21.2945,258.2485,63.6963,-47.0848,871.7686,1347.3453,13.2653,27.2234,4.0173,534.1873,9.1199,0.8626,13.4636,2.8922,2171.3075,136.1203,31.0139,179.8952,29.3182,4121.7197,1013.7085,1.6779,190.2605,24.4626,1162.4089,603.6213,115.7381,31.1687,32.1112,29.1571,71.0638,14.3212,0.8353,16.114,25.9175,-9.3195,1403_3,927.0,70.308,1.778,19.1,college,R
86.0,34.2624,0.1964,72.4097,107.4355,15.8625,425.7275,73.0998,-27.3183,1098.1009,2347.118,147.4161,29.7842,29.2438,230.3961,-2.0729,21.1415,42.8652,2.6738,2397.4885,117.1646,33.7945,171.2329,51.4594,4171.3972,1074.3927,9.0285,82.631,42.1042,1715.8896,750.4265,264.6902,104.5975,66.0744,48.06,108.9411,-6.8163,0.7777,23.5429,12.5779,-2.6372,1561_1,949.0,118.3896,1.9304,25.88,independent,R
84.6,37.3752,0.1964,65.5703,106.3244,21.6923,438.8613,76.0119,-24.4947,1014.6981,2333.0188,139.0102,31.9505,28.6481,228.8186,-5.641,19.3275,29.7971,2.6563,2339.1012,115.7522,33.5608,173.3027,50.6379,4119.7887,1057.3928,11.0078,134.6423,31.5977,1858.8934,839.8946,201.437,110.278,59.1672,50.1837,106.3123,-4.7812,0.7732,23.5743,12.4999,-5.0193,1561_2,949.0,118.3896,1.9304,25.88,independent,R
